iter	Passed	Remaining
0	32	32395
1	52	26324
2	79	26291
3	103	25687
4	122	24409
5	148	24669
6	168	23839
7	188	23419
8	211	23242
9	235	23357
10	254	22899
11	278	22906
12	303	23022
13	325	22912
14	345	22702
15	368	22649
16	392	22722
17	414	22613
18	439	22714
19	458	22472
20	480	22404
21	500	22249
22	527	22396
23	547	22249
24	571	22270
25	598	22428
26	621	22410
27	649	22542
28	675	22606
29	696	22530
30	723	22614
31	747	22617
32	771	22598
33	797	22653
34	817	22549
35	840	22516
36	863	22483
37	884	22392
38	911	22468
39	937	22502
40	962	22504
41	987	22522
42	1015	22605
43	1037	22532
44	1065	22613
45	1091	22629
46	1118	22688
47	1148	22772
48	1175	22815
49	1198	22766
50	1232	22936
51	1255	22881
52	1283	22932
53	1316	23060
54	1340	23033
55	1364	23008
56	1392	23039
57	1419	23051
58	1441	22984
59	1462	22911
60	1490	22942
61	1515	22927
62	1540	22909
63	1562	22847
64	1587	22832
65	1609	22770
66	1628	22682
67	1648	22599
68	1675	22611
69	1695	22526
70	1716	22458
71	1735	22368
72	1760	22360
73	1778	22261
74	1806	22284
75	1825	22195
76	1850	22187
77	1871	22118
78	1890	22037
79	1909	21962
80	1932	21922
81	1960	21952
82	1985	21934
83	2011	21934
84	2032	21882
85	2061	21912
86	2082	21856
87	2107	21841
88	2136	21868
89	2165	21896
90	2190	21877
91	2213	21850
92	2232	21771
93	2259	21778
94	2284	21758
95	2311	21771
96	2320	21605
97	2348	21615
98	2375	21619
99	2401	21612
100	2420	21549
101	2444	21519
102	2470	21514
103	2479	21360
104	2502	21334
105	2529	21336
106	2554	21318
107	2574	21264
108	2598	21237
109	2622	21216
110	2644	21183
111	2673	21196
112	2699	21186
113	2725	21183
114	2745	21126
115	2765	21074
116	2790	21058
117	2811	21016
118	2835	20989
119	2855	20940
120	2875	20887
121	2897	20851
122	2923	20846
123	2951	20850
124	2975	20829
125	2995	20777
126	3016	20733
127	3043	20733
128	3067	20712
129	3089	20677
130	3112	20646
131	3139	20644
132	3162	20613
133	3188	20608
134	3217	20613
135	3242	20597
136	3262	20549
